"electrical_capacity","energy_source_level_1","energy_source_level_2","energy_source_level_3","technology","data_source","nuts_1_region","nuts_2_region","nuts_3_region","lon","lat","municipality","municipality_code","postcode","address","federal_state","commissioning_date","decommissioning_date","voltage_level","eeg_id","dso","dso_id","tso"
0.07,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE239",12.38472784,49.345465,"Neunburg",9376147,92431,NA,"Brandenburg","1939-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.485,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE132",7.962248687,47.90916839,"Oberried",8315084,79254,NA,"Baden-Württemberg","1939-01-01",NA,"medium voltage",NA,"bnNETZE GmbH",10003005,"TransnetBW"
0.045,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE226",11.77564191,48.7946258,"Neustadt",9273152,93333,NA,"Brandenburg","1939-12-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.074,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",11.94327379,49.01903393,"Nittendorf",9375175,93152,NA,"Brandenburg","1940-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.0735,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE133",8.083280029,48.1839498,"Elzach",8325014,79215,NA,"Baden-Württemberg","1940-01-01",NA,"low voltage",NA,"Stadtwerke Elzach",10000627,"TransnetBW"
0.245,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE228",13.19012297,48.4424567,"Bad Griesbach",9275124,94086,NA,"Brandenburg","1940-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.034,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE236",11.58402109,49.02133707,"Dietfurt",9373121,92345,NA,"Brandenburg","1940-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.058,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE149",9.319866977,48.0391142,"Mengen",8437076,88512,NA,"Baden-Württemberg","1940-01-02",NA,"medium voltage",NA,"Stadtwerke Mengen",10001553,"TransnetBW"
0.0195,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE2","DE27","DE277",10.44584654,48.63176479,"",9773183,89426,NA,"Bayern","1940-02-16",NA,"low voltage",NA,"Netzgesellschaft Ostwürttemberg DonauRies GmbH",10002974,"TransnetBW"
0.38,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA2A",7.699426725,50.9592498,"Reichshof",5374040,51580,NA,"Nordrhein-Westfalen","1940-03-31",NA,"medium voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
0.048,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE234",11.93622528,49.3562759,"Ensdorf",9371120,92266,NA,"Brandenburg","1941-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.25,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE11","DE11A",9.762847452,49.12496191,"Schwäbisch Hall",8127076,74523,NA,"Baden-Württemberg","1941-01-01",NA,"medium voltage",NA,"Stadtwerke Schwäbisch Hall GmbH",10000349,"TransnetBW"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE23A",12.35761307,49.88853001,"",9377154,95643,NA,"Brandenburg","1941-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.099,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE11","DE11D",9.970718264,48.9100061,"Abtsgmünd",8136002,73453,NA,"Baden-Württemberg","1942-01-01",NA,"medium voltage",NA,"Netzgesellschaft Ostwürttemberg DonauRies GmbH",10002974,"TransnetBW"
4.9,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE11","DE118",9.147350649,49.07738887,"Lauffen",8125056,74348,NA,"Baden-Württemberg","1942-01-01",NA,"medium voltage",NA,"NHF Netzgesellschaft Heilbronn-Franken mbH",10003031,"TransnetBW"
0.226,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE228",13.19012297,48.4424567,"Bad Griesbach",9275124,94086,NA,"Brandenburg","1942-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.084,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE22C",12.56799356,48.56118756,"Marklkofen",9279126,84163,NA,"Brandenburg","1942-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.087,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",11.99646836,48.99106475,"Sinzing",9375199,93161,NA,"Brandenburg","1942-02-09",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.0075,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE228",13.21708857,48.55857061,"",9275138,94496,NA,"Brandenburg","1942-12-14",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.033,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.42126332,49.64957166,"Pleystein",9374147,92714,NA,"Brandenburg","1943-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.0125,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",12.33220458,48.91390327,"",9375201,93104,NA,"Brandenburg","1943-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.1248,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21G",12.58591209,48.26235773,"Töging",9171132,84513,NA,"Brandenburg","1943-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.09,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21F",11.94323725,47.74296137,"Fischbachau",9182114,83730,NA,"Brandenburg","1943-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.015,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE239",12.39316406,49.49684765,"",9376171,92552,NA,"Brandenburg","1943-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE236",11.58402109,49.02133707,"",9373121,92345,NA,"Brandenburg","1943-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.23,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE25","DE259",11.27187494,49.53745886,"Lauf a.d. Pegnitz",9574138,91207,NA,"Brandenburg","1943-01-01",NA,"low voltage / medium voltage",NA,"StWL Städtische Werke Lauf a.d. Pegnitz GmbH",10001159,"TenneT"
0.36,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE733",9.747534561,51.01292322,"Rotenburg",6632018,36199,NA,"Hamburg","1943-09-01",NA,"medium voltage",NA,"EAM Netz GmbH",10003990,"TenneT"
0.067,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.40158626,49.70870312,"Georgenberg",9374123,92697,NA,"Brandenburg","1944-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.099,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.42571768,49.57269958,"Moosbach",9374137,92709,NA,"Brandenburg","1944-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.033,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE234",11.82439971,49.30878862,"Hohenburg",9371129,92277,NA,"Brandenburg","1944-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
1.7,"Renewable energy","Hydro","","Run-of-river","50Hertz","DEG","DEG0","DEG0I",11.50303541,50.58002658,"Kaulsdorf",16073038,7338,NA,"Thüringen","1945-01-01",NA,"extra high voltage",NA,"50Hertz Transmission GmbH",10000450,"50Hertz"
0.025,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.17590196,49.73200596,"",9374139,92660,NA,"Brandenburg","1945-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.009,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.30026448,47.90193659,"",9187128,83093,NA,"Brandenburg","1945-01-01",NA,"low voltage",NA,"Elektrizitätswerk Stern KG Bad Endorf",10000126,"TenneT"
0.004,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE24","DE24B",11.60878622,50.05799014,"",9477121,95502,NA,"Brandenburg","1945-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.071,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.20832962,49.74057443,"Störnstein",9374158,92721,NA,"Brandenburg","1945-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.019,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE737",9.979838342,51.1436622,"",6636014,37287,NA,"Hamburg","1946-01-01",NA,"low voltage",NA,"Stadtwerke Eschwege GmbH",10000668,"TenneT"
0.0365,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE234",11.82439971,49.30878862,"Hohenburg",9371129,92277,NA,"Brandenburg","1946-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.046,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.42571768,49.57269958,"Moosbach",9374137,92709,NA,"Brandenburg","1946-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.01,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE22B",12.44347768,48.86540495,"",9278172,94368,NA,"Brandenburg","1946-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.095,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE737",9.979838342,51.1436622,"Wehretal",6636014,37287,NA,"Hamburg","1946-01-01",NA,"low voltage",NA,"Stadtwerke Eschwege GmbH",10000668,"TenneT"
0.033,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE22B",12.32085682,48.77024834,"Laberweinting",9278144,84082,NA,"Brandenburg","1946-03-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.145,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21M",12.4663824,47.71900735,"Unterwössen",9189160,83246,NA,"Brandenburg","1946-03-31",NA,"low voltage",NA,"Elektrizitätswerk Unterwössen Döllerer & Greimel Netz GmbH & Co. KG",10001313,"TenneT"
0.36,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE2","DE27","DE278",10.42721272,48.4706001,"Mindelaltheim",9774127,89350,NA,"Bayern","1946-09-27",NA,"medium voltage",NA,"Netzgesellschaft Ostwürttemberg DonauRies GmbH",10002974,"TransnetBW"
0.09,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",11.99646836,48.99106475,"Sinzing",9375199,93161,NA,"Brandenburg","1947-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.022,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE22C",12.71444648,48.65604347,"",9279122,94405,NA,"Brandenburg","1947-01-01",NA,"low voltage",NA,"Stadtwerke Landau a.d. Isar",10000621,"TenneT"
0.28,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE737",9.939766973,51.27653871,"Bad Sooden-Allendorf",6636001,37242,NA,"Hamburg","1947-05-23",NA,"medium voltage",NA,"EAM Netz GmbH",10003990,"TenneT"
0.058,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21M",12.4663824,47.71900735,"Unterwössen",9189160,83246,NA,"Brandenburg","1947-06-01",NA,"low voltage",NA,"Elektrizitätswerk Unterwössen Döllerer & Greimel Netz GmbH & Co. KG",10001313,"TenneT"
0.018,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE2","DE27","DE277",10.3651904,48.52413239,"",9773136,89423,NA,"Bayern","1947-07-01",NA,"low voltage",NA,"Netzgesellschaft Ostwürttemberg DonauRies GmbH",10002974,"TransnetBW"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE235",12.52437279,49.34459126,"",9372154,92444,NA,"Brandenburg","1948-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.098,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.21171935,49.77327601,"Püchersreuth",9374150,92715,NA,"Brandenburg","1948-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.156,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE215",12.80936303,47.8520212,"Teisendorf",9172134,83317,NA,"Brandenburg","1948-08-31",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.04,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE234",11.93622528,49.3562759,"Ensdorf",9371120,92266,NA,"Brandenburg","1948-10-31",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.423,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.49174815,49.65726291,"Waidhaus",9374164,92726,NA,"Brandenburg","1949-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.075,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.42126332,49.64957166,"Pleystein",9374147,92714,NA,"Brandenburg","1949-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.018,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.42126332,49.64957166,"",9374147,92714,NA,"Brandenburg","1949-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.095,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE149",9.278866676,48.11692784,"Bingen",8437008,72511,NA,"Baden-Württemberg","1949-01-01",NA,"low voltage",NA,"Netze BW GmbH",10000843,"TransnetBW"
0.015,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE12","DE12C",8.327378104,48.53607586,"",8237004,72270,NA,"Baden-Württemberg","1949-01-01",NA,"low voltage",NA,"Elektro-Trück GmbH",10002968,"TransnetBW"
0.044,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE12","DE12C",8.327378104,48.53607586,"Baiersbronn",8237004,72270,NA,"Baden-Württemberg","1949-01-01",NA,"low voltage",NA,"Gemeindewerke Baiersbronn",10001510,"TransnetBW"
0.037,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE236",11.73491752,49.16453468,"Lupburg",9373143,92331,NA,"Brandenburg","1949-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
1.36,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21C",11.22878963,48.17876881,"Fürstenfeldbruck",9179121,82256,NA,"Brandenburg","1949-01-02",NA,"medium voltage",NA,"Stadtwerke Fürstenfeldbruck GmbH",10000514,"TenneT"
0.055,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE239",12.4174323,49.40927958,"Dieterskirchen",9376122,92542,NA,"Brandenburg","1949-01-02",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.022,"Renewable energy","Hydro","","Run-of-river","Amprion","DEB","DEB2","DEB22",6.750399528,49.99973503,"Landscheid",7231503,54526,NA,"Rheinland-Pfalz","1949-07-01",NA,"low voltage",NA,"Westnetz GmbH",10003764,"Amprion"
0.045,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",12.22303374,48.85969907,"Pfakofen",9375182,93101,NA,"Brandenburg","1949-07-14",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.115,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE72","DE722",8.563530236,50.58974524,"Lahnau",6532015,35633,NA,"Hamburg","1949-07-15",NA,"medium voltage",NA,"EAM Netz GmbH",10003990,"TenneT"
0.009,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE23A",11.92967855,49.86481292,"",9377129,95478,NA,"Brandenburg","1950-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.015,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE216",11.53476787,47.77289624,"",9173112,83646,NA,"Brandenburg","1950-01-01",NA,"low voltage",NA,"Stadtwerke Bad Tölz GmbH",10001412,"TenneT"
0.01,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21G",12.26457072,48.25303412,"",9183144,84419,NA,"Brandenburg","1950-01-01",NA,"low voltage",NA,"Westenthanner Energieversorgung GmbH",10001406,"TenneT"
0.038,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE22C",12.59736272,48.65027558,"Mamming",9279125,94437,NA,"Brandenburg","1950-01-01",NA,"low voltage",NA,"ew-schmid gmbh",10000343,"TenneT"
0.106,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE225",13.51754911,48.75563542,"Röhrnbach",9272141,94133,NA,"Brandenburg","1950-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.09,"Renewable energy","Hydro","","Run-of-river","Amprion","DEB","DEB2","DEB25",6.826569773,49.71270522,"Farschweiler",7235021,54317,NA,"Rheinland-Pfalz","1950-01-01",NA,"low voltage / medium voltage",NA,"Westnetz GmbH",10003764,"Amprion"
0.13,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE26","DE264",9.447767348,50.06295264,"Frammersbach",9677129,97833,NA,"Brandenburg","1950-01-01",NA,"low voltage",NA,"Gemeindewerke Frammersbach",10001681,"TenneT"
1.4,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE11","DE111",9.252296713,48.77969153,"Stuttgart",8111000,70327,NA,"Baden-Württemberg","1950-01-01",NA,"medium voltage",NA,"Stuttgart Netze GmbH",10012047,"TransnetBW"
0.05,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE239",12.4174323,49.40927958,"Dieterskirchen",9376122,92542,NA,"Brandenburg","1950-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.09,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE217",11.43887823,48.25896952,"Dachau",9174115,85221,NA,"Brandenburg","1950-01-02",NA,"low voltage",NA,"Stadtwerke Dachau",10000755,"TenneT"
0.04,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE149",9.280923121,48.2557043,"Gammertingen",8437031,72501,NA,"Baden-Württemberg","1950-01-15",NA,"low voltage",NA,"Gammertinger Energie- u. Wasserversorgung GmbH",10000066,"TransnetBW"
0.205,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE239",12.00467066,49.2238143,"Burglengenfeld",9376119,93133,NA,"Brandenburg","1951-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.045,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE217",11.43887823,48.25896952,"Dachau",9174115,85221,NA,"Brandenburg","1951-01-01",NA,"low voltage",NA,"Stadtwerke Dachau",10000755,"TenneT"
0.76,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE238",12.38891499,49.07195498,"Brennberg",9375120,93179,NA,"Brandenburg","1951-01-01",NA,"medium voltage",NA,"Elektrizitätswerk Wörth a.d. Donau Rupert Heider & Co. KG",10003233,"TenneT"
2.2,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE217",11.43887823,48.25896952,"Dachau",9174115,85221,NA,"Brandenburg","1951-01-01",NA,"medium voltage",NA,"Stadtwerke Dachau",10000755,"TenneT"
0.12,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE217",11.43887823,48.25896952,"Dachau",9174115,85221,NA,"Brandenburg","1951-01-01",NA,"low voltage",NA,"Stadtwerke Dachau",10000755,"TenneT"
0.056,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE217",11.37869133,48.26512721,"Bergkirchen",9174113,85232,NA,"Brandenburg","1951-01-01",NA,"low voltage",NA,"Stadtwerke Dachau",10000755,"TenneT"
3.4,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE26","DE267",10.66391739,49.96286475,"Eltmann",9674133,97483,NA,"Brandenburg","1951-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.025,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE22B",12.32085682,48.77024834,"",9278144,84082,NA,"Brandenburg","1951-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.037,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.3337219,49.62412251,"Vohenstrauß",9374162,92648,NA,"Brandenburg","1951-10-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.095,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE234",11.94194332,49.25493375,"Schmidmühlen",9371148,92287,NA,"Brandenburg","1951-11-30",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
3.6,"Renewable energy","Hydro","","Run-of-river","Amprion","DE1","DE11","DE115",9.18433283,48.99781934,"Hessigheim",8118028,74394,NA,"Baden-Würtemberg","1952-01-01",NA,"medium voltage",NA,"Syna GmbH",10001495,"Amprion"
0.015,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.28287568,49.72284665,"",9374121,92685,NA,"Brandenburg","1952-01-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
1.8,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE239",12.2686068,49.52509353,"Trausnitz",9376173,92555,NA,"Brandenburg","1952-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.0225,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE134",7.870769349,48.32668746,"",8317065,77933,NA,"Baden-Württemberg","1952-01-01",NA,"low voltage",NA,"Überlandwerk Mittelbaden GmbH & Co. KG",10001904,"TransnetBW"
0.028,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE23A",12.03130095,49.83489415,"",9377116,92681,NA,"Brandenburg","1952-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.4,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE214",12.73395818,48.23840741,"Neuötting",9171125,84524,NA,"Brandenburg","1952-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.0235,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.26915484,49.5871269,"",9374132,92705,NA,"Brandenburg","1952-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.028,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE239",12.39316406,49.49684765,"",9376171,92552,NA,"Brandenburg","1952-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.018,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE26","DE265",10.27811467,50.25588006,"",9672135,97702,NA,"Brandenburg","1952-02-11",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.015,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.28287568,49.72284665,"",9374121,92685,NA,"Brandenburg","1952-04-01",NA,"low voltage / medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.5,"Renewable energy","Hydro","","Run-of-river","Amprion","DE2","DE27","DE27B",10.6416771,47.82168776,"Biessenhofen",9777112,87640,NA,"Bayern","1952-10-12",NA,"medium voltage",NA,"Vereinigte Wertach-Elektrizitätswerke GmbH",10000140,"Amprion"
0.045,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.42126332,49.64957166,"Pleystein",9374147,92714,NA,"Brandenburg","1952-11-13",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.054,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",11.83656469,49.68398017,"Grafenwöhr",9374124,92655,NA,"Brandenburg","1952-12-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.065,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21F",11.75696598,47.75061207,"Gmund",9182116,83703,NA,"Brandenburg","1952-12-01",NA,"low voltage",NA,"Elektrizitätswerk Tegernsee Carl Miller KG",10000988,"TenneT"
0.225,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE21","DE21K",12.08116072,47.73089207,"Brannenburg",9187120,83098,NA,"Brandenburg","1952-12-31",NA,"medium voltage",NA,"Wendelsteinbahn Verteilnetz GmbH",10001691,"TenneT"
0.06,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE234",11.82439971,49.30878862,"Hohenburg",9371129,92277,NA,"Brandenburg","1953-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.022,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.3337219,49.62412251,"",9374162,92648,NA,"Brandenburg","1953-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.015,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE22B",12.40504418,48.8160663,"",9278123,94333,NA,"Brandenburg","1953-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.09,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE22","DE225",13.39953683,48.8494083,"Grafenau",9272120,94481,NA,"Brandenburg","1953-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.03,"Renewable energy","Hydro","","Run-of-river","TenneT","DE7","DE73","DE737",9.979838342,51.1436622,"",6636014,37287,NA,"Hamburg","1953-01-01",NA,"low voltage",NA,"Stadtwerke Eschwege GmbH",10000668,"TenneT"
0.048,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE23","DE237",12.42571768,49.57269958,"Moosbach",9374137,92709,NA,"Brandenburg","1953-01-01",NA,"low voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
0.015,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE134",8.078816837,48.34154775,"",8317146,77736,NA,"Baden-Württemberg","1953-01-01",NA,"low voltage",NA,"Überlandwerk Mittelbaden GmbH & Co. KG",10001904,"TransnetBW"
