"electrical_capacity","energy_source_level_1","energy_source_level_2","energy_source_level_3","technology","data_source","nuts_1_region","nuts_2_region","nuts_3_region","lon","lat","municipality","municipality_code","postcode","address","federal_state","commissioning_date","decommissioning_date","voltage_level","eeg_id","dso","dso_id","tso"
0.045,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE134",8.26805247,48.20793927,"Hornberg",8337076,78132,NA,"Baden-Württemberg","1928-01-01",NA,"medium voltage",NA,"EGT Energie GmbH",10001370,"TransnetBW"
0.011,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE13","DE132",7.710831561,47.79929016,"",8315007,79410,NA,"Baden-Württemberg","1928-01-01",NA,"low voltage",NA,"ED Netze GmbH",10001411,"TransnetBW"
0.0185,"Renewable energy","Hydro","","Run-of-river","Amprion","DEB","DEB2","DEB23",6.452817366,50.15035026,"Nimsreuland",7232280,54614,NA,"Rheinland-Pfalz","1928-01-01",NA,"low voltage",NA,"Westnetz GmbH",10003764,"Amprion"
0.037,"Renewable energy","Hydro","","Run-of-river","Amprion","DEB","DEB2","DEB23",6.452817366,50.15035026,"Nimsreuland",7232280,54614,NA,"Rheinland-Pfalz","1928-01-01",NA,"low voltage",NA,"Westnetz GmbH",10003764,"Amprion"
0.06,"Renewable energy","Hydro","","Run-of-river","TenneT","DE9","DE91","DE918",9.994202639,51.7098655,"Northeim",3155011,37154,NA,"Niedersachsen","1928-01-11",NA,"medium voltage",NA,"EAM Netz GmbH",10003990,"TenneT"
1.6,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA5","DEA59",8.00203884,51.19939676,"Finnentrop",5966012,57413,NA,"Nordrhein-Westfalen","1928-08-07",NA,"medium voltage",NA,"BIGGE ENERGIE GmbH & Co. KG",10003897,"Amprion"
1.9,"Renewable energy","Hydro","","Run-of-river","Amprion","DEB","DEB1","DEB14",7.740887838,49.78472421,"Niederhausen",7133070,55585,NA,"Rheinland-Pfalz","1929-01-01",NA,"medium voltage",NA,"Westnetz GmbH",10003764,"Amprion"
3.2,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE26","DE261",9.161747386,49.94854863,"Aschaffenburg",9661000,63743,NA,"Brandenburg","1929-01-01",NA,"medium voltage",NA,"Bayernwerk Netz GmbH",10001041,"TenneT"
4.68,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE11","DE117",9.164197612,49.10932345,"Heilbronn",8121000,74081,NA,"Baden-Württemberg","1929-01-01",NA,"medium voltage",NA,"NHF Netzgesellschaft Heilbronn-Franken mbH",10003031,"TransnetBW"
0.09,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA2A",7.532673304,50.99269535,"Gummersbach",5374012,51645,NA,"Nordrhein-Westfalen","1929-01-01",NA,"low voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
1.545,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE142",9.009535427,48.53230001,"Tübingen",8416041,72070,NA,"Baden-Württemberg","1929-10-01",NA,"medium voltage",NA,"Stadtwerke Tübingen GmbH",10000434,"TransnetBW"
